m.missiontype	m.startyear	m.platform	m.missionnumber	f.serialnumber	catchsampleid	commonname	catchcategory	catchpartnumber	aphia	scientificname	identification	foreignobject	sampletype	group	conservation	catchproducttype	raisingfactor	catchweight	catchvolume	catchcount	abundancecategory	sampleproducttype	lengthmeasurement	lengthsampleweight	lengthsamplevolume	lengthsamplecount	specimensamplecount	agesamplecount	agingstructure	parasite	stomach	intestine	tissuesample	samplerecipient	catchcomment
4	2019	LMEL	13	2506	1	brennmanet	BRENNMANET	1	135301	Cyanea capillata			90		1	1	1.0	52.77		32															
4	2019	LMEL	13	2506	2	glassmanet	GLASSMANET	2	135306	Aurelia aurita			90		1	1	1.0	11.81		83			A												
4	2019	LMEL	13	2506	3	blå brennmanet	BLÅ BRENNMANET	3	135302	Cyanea lamarcki			90		1	1	1.0	0.135		4			A												
4	2019	LMEL	13	2506	5	lodde	LODDE	1	126735	Mallotus villosus			10	10	1	1	1.0	6.541		65410		1	E	0.003		30		0							
4	2019	LMEL	13	2506	6	øyepål	ØYEPÅL	1	126444	Trisopterus esmarkii			10	10	1	1	1.0	0.002		8		1	E	0.002		8		0							
4	2019	LMEL	13	2506	7	hvitting	HVITTING	1	126438	Merlangius merlangus			10	10	1	1	1.0	0.001		1		1	E	0.001		1		0							
4	2019	LMEL	13	2506	8	uerslekten	UERSLEKTEN	1	126175	Sebastes			10	10	1	1	1.0	1.0E-4		2		1	E	1.0E-4		2									
4	2019	LMEL	13	2506	9	hyse	HYSE	1	126437	Melanogrammus aeglefinus			10	10	1	1	1.0	0.021		4		1	E	0.021		4		0							
4	2019	LMEL	13	2506	10	sild'G03	SILD'G03	1	126417	Clupea harengus			20		1	1	1.0	0.437		13		1	E	0.437		13	13	0							
4	2019	LMEL	13	2506	11	Meganyctiphanes	MEGANYCTIPHANES	1	110674	Meganyctiphanes			90		1	1	1.0	0.03																	
4	2019	LMEL	13	2506	12	Hyperia	HYPERIA	1	101796	Hyperia			90		1	1	1.0	0.0035		12															
