m.missiontype	m.startyear	m.platform	m.missionnumber	serialnumber	nation	catchplatform	station	fixedstation	stationstartdate	stationstarttime	stationstopdate	stationstoptime	stationtype	latitudestart	longitudestart	latitudeend	longitudeend	system	area	location	bottomdepthstart	bottomdepthstop	bottomdepthmean	fishingdepthstart	fishingdepthstop	fishingdepthcount	fishingdepthmax	fishingdepthmin	fishingdepthmean	fishingdepthtemperature	gearno	sweeplength	gear	gearcount	direction	gearflow	vesselspeed	logstart	logstop	distance	gearcondition	samplequality	verticaltrawlopening	verticaltrawlopeningsd	trawldoortype	trawldoorarea	trawldoorweight	trawldoorspread	trawldoorspreadsd	wingspread	wingspreadsd	wirelength	wirediameter	wiredensity	soaktime	tripno	fishabundance	fishdistribution	landingsite	fishingground	vesselcount	dataquality	haulvalidity	flora	vegetationcover	visibility	waterlevel	winddirection	windspeed	clouds	sea	weather	stationcomment
4	2019	LMEL	13	2505	58	LMEL	200		14/08/2019	05:39:10	14/08/2019	05:53:50		70.81031365	20.604243183333335	70.8084958	20.6407271	2	4	10											1617		3271	1	88.67		2.929090909090477	3421.248	3421.964	0.7159999999998944	1	1	4.029999999999999					47.75				560.0																					Sjøtest Sjøtest
4	2019	LMEL	13	2506	58	LMEL	201		14/08/2019	08:38:04	14/08/2019	09:22:14		70.45135816666667	20.376420666666668	70.42027908333333	20.311441116666668	2	4	03							9003.0	0.0			1602		3513	1	217.9		3.0701886792455797	3446.127	3448.387	2.2600000000002183	1	1	13.19					56.81				340.0																					
4	2019	LMEL	13	2507	58	LMEL	202		14/08/2019	11:23:48	14/08/2019	11:38:50		70.42858201666667	20.358286666666668	70.43833595	20.3283711	2	4	03							133.0	128.0			1623		3271	1	323.03		3.308647450111576	3453.99	3454.819	0.8290000000001783	1	1	4.0					46.31				390.0																					
4	2019	LMEL	13	2508	58	LMEL	203		14/08/2019	15:46:05	14/08/2019	16:18:19		70.24782248333334	18.566349266666666	70.23786116666666	18.469979016666667	2	4	01							9003.0	0.0			1602		3513	1	256.8		3.7786970010344985	3494.296	3496.326	2.0300000000002	1	1	20.535					49.44				248.0																					
4	2019	LMEL	13	2509	58	LMEL	204		14/08/2019	17:56:16	14/08/2019	18:11:18		70.23041738333333	18.48646075	70.21868581666666	18.466168566666667	2	4	01	221.52	214.85					221.62	214.77			1623		3271	1	197.87		3.2168514412418445	3500.642	3501.448	0.80600000000004	1	1	3.81					48.16				520.0																					
4	2019	LMEL	13	2510	58	LMEL	205		14/08/2019	21:55:40	14/08/2019	22:36:47		70.1198031	16.90663465	70.11660811666667	16.800019383333332	2	5	34							9003.0	0.0			1602		3513	1	262.4		3.1549250101334843	3535.733	3537.895	2.161999999999807	1	1	14.38					54.69				120.0																					
4	2019	LMEL	13	2511	58	LMEL	206		15/08/2019	04:33:40	15/08/2019	05:09:26		70.60849985	16.401559716666668	70.64151935	16.3742751	2	4	06	0.0	1673.91					9003.0	0.0			1602		3513	1	350.88		3.418825722274016	3570.867	3572.905	2.038000000000011	1	1	14.38					57.69				320.0																					
4	2019	LMEL	13	2512	58	LMEL	207		15/08/2019	11:07:12	15/08/2019	11:35:31		70.7978172	17.88620575	70.79917738333333	17.981841783333333	2	4	07	227.3	220.08					9003.0	0.0			1602		3513	1	79.73		3.9814008240139254	3606.457	3608.336	1.8789999999999054	1	1	17.13					48.56				120.0																					
4	2019	LMEL	13	2513	58	LMEL	208		15/08/2019	13:27:28	15/08/2019	13:41:59		70.80200906666667	18.185210033333334	70.80036325	18.146147766666665	2	4	08	211.76	215.84					216.38	211.76			1623		3271	1	269.83		3.178415614237472	3614.361	3615.13	0.7690000000002328	1	1	4.19					50.25				530.0																					
4	2019	LMEL	13	2514	58	LMEL	209		15/08/2019	17:18:25	15/08/2019	18:00:02		70.90525026666667	19.664489083333333	70.91101363333334	19.777262783333335	2	4	09	181.79	177.79					9003.0	0.0			1602		3513	1	76.97		3.2049659591509183	3648.781	3651.004	2.2229999999999563	1	1	13.81					56.94				380.0																					
4	2019	LMEL	13	2515	58	LMEL	210		15/08/2019	19:19:49	15/08/2019	19:35:01		70.93769146666666	19.83994858333333	70.94888646666666	19.863704316666666	2	4	09	174.61	183.07					183.61	173.74			1623		3271	1	33.32		3.1934210526305593	3653.284	3654.093	0.8089999999997417	1	1	4.41					52.44				480.0																					Dårlig humpete bunn Dårlig humpete bunn
4	2019	LMEL	13	2516	58	LMEL	211		15/08/2019	23:32:36	16/08/2019	00:10:17		71.00885276666666	21.375100833333335	71.01418058333333	21.476844716666665	2	4	22	180.6	176.48					9003.0	0.0			1602		3513	1	80.43		3.174878372401818	3686.931	3688.925	1.9940000000001419	1	1	18.0					47.81				120.0																					
4	2019	LMEL	13	2517	58	LMEL	212		16/08/2019	02:12:09	16/08/2019	02:27:14		71.00985843333333	21.636759166666668	71.00930086666666	21.596732283333335	2	4	22	164.02	160.02					164.98	158.24			1623		3271	1	258.04		3.0669613259675885	3699.301	3700.072	0.7710000000001855	1	1	3.88					37.5				430.0																					
4	2019	LMEL	13	2518	58	LMEL	213		16/08/2019	05:57:31	16/08/2019	06:34:23		71.09694351666667	23.189316383333335	71.1005108	23.29109971666667	2	4	24	333.33	234.65					9003.0	0.0			1602		3513	1	82.06		3.212658227847622	3733.099	3735.073	1.9739999999997053	1	1	17.69					51.44				250.0																					
4	2019	LMEL	13	2519	58	LMEL	214		16/08/2019	08:14:59	16/08/2019	08:30:00		71.1043651	23.349665666666667	71.11241265	23.381684333333332	2	4	24	240.85	249.74					249.82	237.2			1623		3271	1	48.02		3.1045504994452355	3738.429	3739.206	0.7770000000000437	1	1	3.88					48.06				585.0																					
4	2019	LMEL	13	2520	58	LMEL	215		16/08/2019	12:07:40	16/08/2019	12:47:34		71.16625768333333	25.018654983333334	71.17043785	25.129909216666668	2	4	26	160.57	151.67					9003.0	0.0			1602		3513	1	78.53		3.237593984962094	3771.987	3774.14	2.1529999999997926	1	1	5.38					45.0				120.0																					
4	2019	LMEL	13	2521	58	LMEL	216		16/08/2019	16:29:02	16/08/2019	16:44:07		71.19419003333333	25.063099216666668	71.19397428333333	25.024673833333335	2	4	26	163.52	163.92					169.35	163.52			1623		3271	1	259.05		2.9118232044197736	3780.203	3780.935	0.7319999999999709	1	1	4.19					44.94				375.0																					
4	2019	LMEL	13	2522	58	LMEL	217		16/08/2019	20:28:24	16/08/2019	21:11:21		71.21597766666666	26.7791807	71.21925493333333	26.886112666666666	2	3	10	284.81	283.28					9003.0	0.0			1602		3513	1	90.08		2.861001164144674	3817.028	3819.076	2.048000000000229	1	1	13.81					58.94				360.0																					
