m.missiontype	m.startyear	m.platform	m.missionnumber	f.serialnumber	c.catchsampleid	specimenid	individualproducttype	individualweight	individualvolume	lengthresolution	length	fat	fatpercent	sex	maturationstage	specialstage	eggstage	moultingstage	spawningfrequency	stomachfillfield	stomachfilllab	digestion	liver	liverparasite	gillworms	swollengills	fungusheart	fungusspores	fungusouter	blackspot	vertebraecount	agingstructureread	agingstructureweight	age	spawningage	spawningzones	readability	otolithtype	otolithedge	otolithcentre	calibration	growthzone1	growthzone2	growthzone3	growthzone4	growthzone5	growthzone6	growthzone7	growthzone8	growthzone9	growthzonestotal	coastalannuli	oceanicannuli	agereader	preferredagereading	tagid	tagtype	gonadweight	liverweight	stomachweight	diameter	mantlelength	carapacelength	headlength	snouttoendoftail	snouttoendsqueezed	snouttoanalfin	snouttodorsalfin	forklength	snouttoboneknob	lengthwithouthead	carapacewidth	rightclawwidth	rightclawlength	meroswidth	meroslength	japanesecut	abdomenwidth	tissuesamplenumber	individualcomment	cond
4	2019	LMEL	13	2506	5	1	1			1	0.044																																																																						
4	2019	LMEL	13	2506	5	2	1			1	0.032																																																																						
4	2019	LMEL	13	2506	5	3	1			1	0.024																																																																						
4	2019	LMEL	13	2506	5	4	1			1	0.039																																																																						
4	2019	LMEL	13	2506	5	5	1			1	0.034																																																																						
4	2019	LMEL	13	2506	5	6	1			1	0.026																																																																						
4	2019	LMEL	13	2506	5	7	1			1	0.041																																																																						
4	2019	LMEL	13	2506	5	8	1			1	0.023																																																																						
4	2019	LMEL	13	2506	5	9	1			1	0.035																																																																						
4	2019	LMEL	13	2506	5	10	1			1	0.045																																																																						
4	2019	LMEL	13	2506	5	11	1			1	0.03																																																																						
4	2019	LMEL	13	2506	5	12	1			1	0.028																																																																						
4	2019	LMEL	13	2506	5	13	1			1	0.032																																																																						
4	2019	LMEL	13	2506	5	14	1			1	0.039																																																																						
4	2019	LMEL	13	2506	5	15	1			1	0.027																																																																						
4	2019	LMEL	13	2506	5	16	1			1	0.03																																																																						
4	2019	LMEL	13	2506	5	17	1			1	0.043																																																																						
4	2019	LMEL	13	2506	5	18	1			1	0.04																																																																						
4	2019	LMEL	13	2506	5	19	1			1	0.044																																																																						
4	2019	LMEL	13	2506	5	20	1			1	0.032																																																																						
4	2019	LMEL	13	2506	5	21	1			1	0.03																																																																						
4	2019	LMEL	13	2506	5	22	1			1	0.038																																																																						
4	2019	LMEL	13	2506	5	23	1			1	0.043																																																																						
4	2019	LMEL	13	2506	5	24	1			1	0.047																																																																						
4	2019	LMEL	13	2506	5	25	1			1	0.034																																																																						
4	2019	LMEL	13	2506	5	26	1			1	0.045																																																																						
4	2019	LMEL	13	2506	5	27	1			1	0.037																																																																						
4	2019	LMEL	13	2506	5	28	1			1	0.032																																																																						
4	2019	LMEL	13	2506	5	29	1			1	0.028																																																																						
4	2019	LMEL	13	2506	5	30	1			1	0.033																																																																						
4	2019	LMEL	13	2506	6	1	1			1	0.042																																																																						
