m.missiontype	m.startyear	m.platform	m.missionnumber	f.serialnumber	c.catchsampleid	specimenid	individualproducttype	individualweight	individualvolume	lengthresolution	length	fat	fatpercent	sex	maturationstage	specialstage	eggstage	moultingstage	spawningfrequency	stomachfillfield	stomachfilllab	digestion	liver	liverparasite	gillworms	swollengills	fungusheart	fungusspores	fungusouter	blackspot	vertebraecount	agingstructureread	agingstructureweight	age	spawningage	spawningzones	readability	otolithtype	otolithedge	otolithcentre	calibration	growthzone1	growthzone2	growthzone3	growthzone4	growthzone5	growthzone6	growthzone7	growthzone8	growthzone9	growthzonestotal	coastalannuli	oceanicannuli	blindreading	readingdate	agereader	preferredagereading	tagid	tagtype	gonadweight	liverweight	stomachweight	diameter	mantlelength	carapacelength	headlength	snouttoendoftail	snouttoendsqueezed	snouttoanalfin	snouttodorsalfin	forklength	snouttoboneknob	lengthwithouthead	carapacewidth	rightclawwidth	rightclawlength	rightclawheight	meroswidth	meroslength	japanesecut	abdomenwidth	tissuesamplenumber	morphologytype	individualcomment	cond
4	2020	1019	9	2205	1	1	1			2	0.07																																																																										
4	2020	1019	9	2205	1	2	1			2	0.085																																																																										
4	2020	1019	9	2205	2	1	1	0.341		2	0.345																																																																										0.812624575563399
4	2020	1019	9	2205	4	1	1			1	0.012																																																																										
4	2020	1019	9	2205	5	1	1			1	0.022																																																																										
4	2020	1019	9	2205	5	2	1			1	0.024																																																																										
4	2020	1019	9	2205	6	1	1			1	0.029																																																																										
4	2020	1019	9	2205	6	2	1			1	0.035																																																																										
4	2020	1019	9	2206	2	1				1	0.012																																																																										
4	2020	1019	9	2206	2	2				1	0.012																																																																										
4	2020	1019	9	2206	2	3				1	0.013																																																																										
4	2020	1019	9	2206	2	4				1	0.013																																																																										
4	2020	1019	9	2206	2	5				1	0.013																																																																										
4	2020	1019	9	2206	2	6				1	0.013																																																																										
4	2020	1019	9	2206	2	7				1	0.013																																																																										
4	2020	1019	9	2206	2	8				1	0.014																																																																										
4	2020	1019	9	2206	2	9				1	0.014																																																																										
4	2020	1019	9	2206	2	10				1	0.014																																																																										
4	2020	1019	9	2206	2	11				1	0.014																																																																										
4	2020	1019	9	2206	2	12				1	0.015																																																																										
4	2020	1019	9	2206	2	13				1	0.015																																																																										
4	2020	1019	9	2206	2	14				1	0.015																																																																										
4	2020	1019	9	2206	2	15				1	0.015																																																																										
4	2020	1019	9	2206	2	16				1	0.015																																																																										
4	2020	1019	9	2206	2	17				1	0.015																																																																										
4	2020	1019	9	2206	2	18				1	0.015																																																																										
4	2020	1019	9	2206	2	19				1	0.015																																																																										
4	2020	1019	9	2206	2	20				1	0.016																																																																										
4	2020	1019	9	2206	2	21				1	0.016																																																																										
4	2020	1019	9	2206	2	22				1	0.016																																																																										
4	2020	1019	9	2206	2	23				1	0.016																																																																										
4	2020	1019	9	2206	2	24				1	0.016																																																																										
4	2020	1019	9	2206	2	25				1	0.016																																																																										
4	2020	1019	9	2206	2	26				1	0.017																																																																										
4	2020	1019	9	2206	2	27				1	0.017																																																																										
4	2020	1019	9	2206	2	28				1	0.017																																																																										
4	2020	1019	9	2206	2	29				1	0.017																																																																										
4	2020	1019	9	2206	2	30				1	0.017																																																																										
4	2020	1019	9	2206	4	1	1			1	0.03																																																																										
4	2020	1019	9	2206	4	2	1			1	0.03																																																																										
4	2020	1019	9	2206	4	3	1			1	0.032																																																																										
4	2020	1019	9	2206	4	4	1			1	0.036																																																																										
4	2020	1019	9	2206	4	5	1			1	0.038																																																																										
4	2020	1019	9	2206	4	6	1			1	0.035																																																																										
4	2020	1019	9	2206	4	7	1			1	0.02																																																																										
4	2020	1019	9	2206	4	8	1			1	0.039																																																																										
4	2020	1019	9	2206	4	9	1			1	0.03																																																																										
4	2020	1019	9	2206	4	10	1			1	0.02																																																																										
4	2020	1019	9	2206	5	1	1			1	0.047																																																																										
4	2020	1019	9	2206	6	1	1			1	0.013																																																																										
4	2020	1019	9	2206	7	1	1			1	0.018																																																																										
4	2020	1019	9	2206	7	2	1			1	0.03																																																																										
4	2020	1019	9	2206	7	3	1			1	0.016																																																																										
4	2020	1019	9	2206	7	4	1			1	0.017																																																																										
4	2020	1019	9	2206	8	1	1			1	0.033																																																																										
4	2020	1019	9	2206	8	2	1			1	0.038																																																																										
4	2020	1019	9	2206	8	3	1			1	0.034																																																																										
4	2020	1019	9	2206	8	4	1			1	0.042																																																																										
4	2020	1019	9	2206	8	5	1			1	0.027																																																																										
4	2020	1019	9	2206	8	6	1			1	0.035																																																																										
4	2020	1019	9	2206	8	7	1			1	0.03																																																																										
4	2020	1019	9	2206	8	8	1			1	0.033																																																																										
4	2020	1019	9	2206	8	9	1			1	0.034																																																																										
4	2020	1019	9	2206	8	10	1			1	0.033																																																																										
4	2020	1019	9	2206	8	11	1			1	0.043																																																																										
4	2020	1019	9	2206	8	12	1			1	0.037																																																																										
4	2020	1019	9	2206	8	13	1			1	0.038																																																																										
4	2020	1019	9	2206	8	14	1			1	0.031																																																																										
4	2020	1019	9	2206	8	15	1			1	0.026																																																																										
4	2020	1019	9	2206	8	16	1			1	0.035																																																																										
4	2020	1019	9	2206	9	1	1			1	0.025																																																																										
4	2020	1019	9	2206	9	2	1			1	0.017																																																																										
4	2020	1019	9	2206	9	3	1			1	0.013																																																																										
4	2020	1019	9	2206	9	4	1			1	0.014																																																																										
4	2020	1019	9	2206	9	5	1			1	0.026																																																																										
4	2020	1019	9	2206	9	6	1			1	0.025																																																																										
4	2020	1019	9	2206	9	7	1			1	0.015																																																																										
4	2020	1019	9	2206	9	8	1			1	0.021																																																																										
4	2020	1019	9	2206	9	9	1			1	0.016																																																																										
4	2020	1019	9	2206	9	10	1			1	0.016																																																																										
4	2020	1019	9	2206	9	11	1			1	0.018																																																																										
4	2020	1019	9	2206	9	12	1			1	0.021																																																																										
4	2020	1019	9	2206	9	13	1			1	0.018																																																																										
4	2020	1019	9	2206	9	14	1			1	0.015																																																																										
4	2020	1019	9	2206	9	15	1			1	0.021																																																																										
4	2020	1019	9	2206	9	16	1			1	0.017																																																																										
4	2020	1019	9	2206	9	17	1			1	0.016																																																																										
4	2020	1019	9	2206	9	18	1			1	0.023																																																																										
4	2020	1019	9	2206	9	19	1			1	0.016																																																																										
4	2020	1019	9	2206	9	20	1			1	0.028																																																																										
4	2020	1019	9	2206	9	21	1			1	0.02																																																																										
4	2020	1019	9	2206	9	22	1			1	0.022																																																																										
4	2020	1019	9	2206	9	23	1			1	0.015																																																																										
4	2020	1019	9	2206	9	24	1			1	0.016																																																																										
4	2020	1019	9	2206	9	25	1			1	0.018																																																																										
4	2020	1019	9	2206	9	26	1			1	0.021																																																																										
4	2020	1019	9	2206	9	27	1			1	0.023																																																																										
4	2020	1019	9	2206	9	28	1			1	0.021																																																																										
4	2020	1019	9	2206	9	29	1			1	0.017																																																																										
4	2020	1019	9	2206	9	30	1			1	0.019																																																																										
4	2020	1019	9	2206	10	1	1			1	0.077																																																																										
4	2020	1019	9	2206	10	2	1			1	0.042																																																																										
4	2020	1019	9	2206	10	3	1			1	0.067																																																																										
4	2020	1019	9	2206	12	1				1	0.006																																																																										
4	2020	1019	9	2206	12	2				1	0.008																																																																										
4	2020	1019	9	2207	1	1	1	0.126		2	0.29			1		2							2	2		1								4			2																				1																												0.5034924167074069
4	2020	1019	9	2207	1	2	1	0.108		2	0.265																																																																										0.564225092506957
4	2020	1019	9	2207	1	3	1	0.13		2	0.3			1		2							1	3		1								5			1																				1																												0.46964230980474286
4	2020	1019	9	2207	1	4	1	0.074		2	0.245			2		2							2	2		1								2			1																				1																												0.4880969680479934
4	2020	1019	9	2207	1	5	1	0.169		2	0.29																																																																										0.6753191938377123
4	2020	1019	9	2207	1	6	1	0.264		2	0.335																																																																										0.6867245846669715
4	2020	1019	9	2207	1	7	1	0.101		2	0.26																																																																										0.5583846236907462
4	2020	1019	9	2207	1	8	1	0.174		2	0.31																																																																										0.5701632
4	2020	1019	9	2207	1	9	1	0.147		2	0.285																																																																										0.6185912714720145
4	2020	1019	9	2207	1	10	1	0.136		2	0.3																																																																										0.4913181087188079
4	2020	1019	9	2207	1	11	1	0.043		2	0.215																																																																										0.41791761009441114
4	2020	1019	9	2207	1	12	1	0.103		2	0.26																																																																										0.569441744951949
4	2020	1019	9	2207	1	13	1	0.172		2	0.3																																																																										0.6213729022031982
4	2020	1019	9	2207	1	14	1	0.059		2	0.215																																																																										0.573421837106285
4	2020	1019	9	2207	1	15	1	0.162		2	0.295																																																																										0.6152535161370529
4	2020	1019	9	2207	1	16	1	0.101		2	0.26																																																																										0.5583846236907462
4	2020	1019	9	2207	1	17	1	0.069		2	0.23																																																																										0.5490099545351131
4	2020	1019	9	2207	1	18	1	0.089		2	0.245																																																																										0.5870355426523165
4	2020	1019	9	2207	1	19	1	0.108		2	0.26																																																																										0.5970845481049563
4	2020	1019	9	2207	1	20	1	0.064		2	0.22																																																																										0.5810184561306951
4	2020	1019	9	2207	1	21	1	0.079		2	0.235																																																																										0.5897069543665258
4	2020	1019	9	2207	1	22	1	0.132		2	0.295																																																																										0.5013176798153764
4	2020	1019	9	2207	1	23	1	0.179		2	0.305																																																																										0.6156270168690187
4	2020	1019	9	2207	1	24	1	0.147		2	0.305																																																																										0.5055707903896409
4	2020	1019	9	2207	1	25	1	0.052		2	0.21																																																																										0.5419092204355791
4	2020	1019	9	2207	1	26	1	0.195		2	0.315																																																																										0.6092610610418071
4	2020	1019	9	2207	1	27	1	0.134		2	0.28																																																																										0.5943598191693517
4	2020	1019	9	2207	1	28	1	0.049		2	0.22																																																																										0.4448422554750635
4	2020	1019	9	2207	1	29	1	0.2		2	0.31																																																																										0.6553599999999999
4	2020	1019	9	2207	1	30	1	0.187		2	0.33																																																																										0.5087057629375037
4	2020	1019	9	2207	1	31	1	0.138		2	0.28																																																																										0.6121019033236607
4	2020	1019	9	2207	1	32	1	0.102		2	0.255																																																																										0.5974044752257426
4	2020	1019	9	2207	1	33	1	0.152		2	0.31																																																																										0.49807360000000006
4	2020	1019	9	2207	1	34	1	0.292		2	0.34																																																																										0.7267769147215494
4	2020	1019	9	2207	1	35	1	0.192		2	0.31																																																																										0.6291456
4	2020	1019	9	2207	1	36	1	0.22		2	0.32																																																																										0.655893797378195
4	2020	1019	9	2207	1	37	1	0.106		2	0.265																																																																										0.553776479682754
4	2020	1019	9	2207	1	38	1	0.107		2	0.265																																																																										0.5590007860948555
4	2020	1019	9	2207	1	39	1	0.081		2	0.245																																																																										0.5342683028633441
4	2020	1019	9	2207	1	40	1	0.102		2	0.285																																																																										0.4292265965316019
4	2020	1019	9	2207	1	41	1	0.189		2	0.305																																																																										0.6500195876438241
4	2020	1019	9	2207	1	42	1	0.14		2	0.295																																																																										0.5317005695011569
4	2020	1019	9	2207	1	43	1	0.143		2	0.3																																																																										0.5166065407852172
4	2020	1019	9	2207	1	44	1	0.188		2	0.32																																																																										0.5604910632140939
4	2020	1019	9	2207	1	45	1	0.14		2	0.31																																																																										0.45875200000000005
4	2020	1019	9	2207	1	46	1	0.126		2	0.29																																																																										0.5034924167074069
4	2020	1019	9	2207	1	47	1	0.037		2	0.185			2		1							2	1		1								0			1																				1																												0.5613037037037037
4	2020	1019	9	2207	1	48	1	0.16		2	0.315																																																																										0.4999065116240469
4	2020	1019	9	2207	1	49	1	0.136		2	0.28																																																																										0.6032308612465062
4	2020	1019	9	2207	1	50	1	0.119		2	0.275																																																																										0.5568753559988038
4	2020	1019	9	2207	1	51	1	0.065		2	0.225																																																																										0.5520382286473338
4	2020	1019	9	2207	1	52	1	0.057		2	0.22																																																																										0.5174695624914003
4	2020	1019	9	2207	1	53	1	0.198		2	0.315																																																																										0.6186343081347581
4	2020	1019	9	2207	1	54	1	0.065		2	0.225																																																																										0.5520382286473338
4	2020	1019	9	2207	1	55	1	0.092		2	0.245																																																																										0.606823257573181
4	2020	1019	9	2207	1	56	1	0.067		2	0.235																																																																										0.5001312144627497
4	2020	1019	9	2207	1	57	1	0.121		2	0.27																																																																										0.5979788869592881
4	2020	1019	9	2207	1	58	1	0.072		2	0.23																																																																										0.5728799525583789
4	2020	1019	9	2207	1	59	1	0.205		2	0.31																																																																										0.671744
4	2020	1019	9	2207	1	60	1	0.174		2	0.3																																																																										0.6285981685078865
