Norwegian.taxa	Scientific.taxa	m.missiontype	m.startyear	m.platform	m.missionnumber	f.serialnumber	catchsampleid	catchcategory	aphia	specimenid	individualproducttype	individualweight	individualvolume	lengthresolution	length	fat	fatpercent	sex	maturationstage	specialstage	eggstage	moultingstage	spawningfrequency	stomachfillfield	stomachfilllab	digestion	liver	liverparasite	gillworms	swollengills	fungusheart	fungusspores	fungusouter	blackspot	vertebraecount	agingstructureread	agingstructureweight	age	spawningage	spawningzones	readability	otolithtype	otolithedge	otolithcentre	calibration	growthzone1	growthzone2	growthzone3	growthzone4	growthzone5	growthzone6	growthzone7	growthzone8	growthzone9	growthzonestotal	coastalannuli	oceanicannuli	blindreading	readingdate	agereader	preferredagereading	tagid	tagtype	gonadweight	liverweight	stomachweight	diameter	mantlelength	carapacelength	headlength	snouttoendoftail	snouttoendsqueezed	snouttoanalfin	snouttodorsalfin	forklength	snouttoboneknob	lengthwithouthead	carapacewidth	rightclawwidth	rightclawlength	rightclawheight	meroswidth	meroslength	japanesecut	abdomenwidth	tissuesamplenumber	morphologytype	individualcomment	cond
hyse	Melanogrammus aeglefinus	4	2020	1019	9	2205	1	164744	126437	1	1			2	0.07																																																																										
hyse	Melanogrammus aeglefinus	4	2020	1019	9	2205	1	164744	126437	2	1			2	0.085																																																																										
makrell	Scomber scombrus	4	2020	1019	9	2205	2	172414	127023	1	1	0.341		2	0.345																																																																										0.812624575563399
uerslekten	Sebastes	4	2020	1019	9	2205	4	166705	126175	1	1			1	0.012																																																																										
gonatus	Gonatus	4	2020	1019	9	2205	5	82418	138036	1	1			1	0.022																																																																										
gonatus	Gonatus	4	2020	1019	9	2205	5	82418	138036	2	1			1	0.024																																																																										
tverrhalet langebarn	Leptoclinus maculatus	4	2020	1019	9	2205	6	171603	127072	1	1			1	0.029																																																																										
tverrhalet langebarn	Leptoclinus maculatus	4	2020	1019	9	2205	6	171603	127072	2	1			1	0.035																																																																										
Norsk storkrill	Meganyctiphanes norvegica	4	2020	1019	9	2206	2	95534	110690	1				1	0.012																																																																										
Norsk storkrill	Meganyctiphanes norvegica	4	2020	1019	9	2206	2	95534	110690	2				1	0.012																																																																										
Norsk storkrill	Meganyctiphanes norvegica	4	2020	1019	9	2206	2	95534	110690	3				1	0.013																																																																										
Norsk storkrill	Meganyctiphanes norvegica	4	2020	1019	9	2206	2	95534	110690	4				1	0.013																																																																										
Norsk storkrill	Meganyctiphanes norvegica	4	2020	1019	9	2206	2	95534	110690	5				1	0.013																																																																										
Norsk storkrill	Meganyctiphanes norvegica	4	2020	1019	9	2206	2	95534	110690	6				1	0.013																																																																										
Norsk storkrill	Meganyctiphanes norvegica	4	2020	1019	9	2206	2	95534	110690	7				1	0.013																																																																										
Norsk storkrill	Meganyctiphanes norvegica	4	2020	1019	9	2206	2	95534	110690	8				1	0.014																																																																										
Norsk storkrill	Meganyctiphanes norvegica	4	2020	1019	9	2206	2	95534	110690	9				1	0.014																																																																										
Norsk storkrill	Meganyctiphanes norvegica	4	2020	1019	9	2206	2	95534	110690	10				1	0.014																																																																										
Norsk storkrill	Meganyctiphanes norvegica	4	2020	1019	9	2206	2	95534	110690	11				1	0.014																																																																										
Norsk storkrill	Meganyctiphanes norvegica	4	2020	1019	9	2206	2	95534	110690	12				1	0.015																																																																										
Norsk storkrill	Meganyctiphanes norvegica	4	2020	1019	9	2206	2	95534	110690	13				1	0.015																																																																										
Norsk storkrill	Meganyctiphanes norvegica	4	2020	1019	9	2206	2	95534	110690	14				1	0.015																																																																										
Norsk storkrill	Meganyctiphanes norvegica	4	2020	1019	9	2206	2	95534	110690	15				1	0.015																																																																										
Norsk storkrill	Meganyctiphanes norvegica	4	2020	1019	9	2206	2	95534	110690	16				1	0.015																																																																										
Norsk storkrill	Meganyctiphanes norvegica	4	2020	1019	9	2206	2	95534	110690	17				1	0.015																																																																										
Norsk storkrill	Meganyctiphanes norvegica	4	2020	1019	9	2206	2	95534	110690	18				1	0.015																																																																										
Norsk storkrill	Meganyctiphanes norvegica	4	2020	1019	9	2206	2	95534	110690	19				1	0.015																																																																										
Norsk storkrill	Meganyctiphanes norvegica	4	2020	1019	9	2206	2	95534	110690	20				1	0.016																																																																										
Norsk storkrill	Meganyctiphanes norvegica	4	2020	1019	9	2206	2	95534	110690	21				1	0.016																																																																										
Norsk storkrill	Meganyctiphanes norvegica	4	2020	1019	9	2206	2	95534	110690	22				1	0.016																																																																										
Norsk storkrill	Meganyctiphanes norvegica	4	2020	1019	9	2206	2	95534	110690	23				1	0.016																																																																										
Norsk storkrill	Meganyctiphanes norvegica	4	2020	1019	9	2206	2	95534	110690	24				1	0.016																																																																										
Norsk storkrill	Meganyctiphanes norvegica	4	2020	1019	9	2206	2	95534	110690	25				1	0.016																																																																										
Norsk storkrill	Meganyctiphanes norvegica	4	2020	1019	9	2206	2	95534	110690	26				1	0.017																																																																										
Norsk storkrill	Meganyctiphanes norvegica	4	2020	1019	9	2206	2	95534	110690	27				1	0.017																																																																										
Norsk storkrill	Meganyctiphanes norvegica	4	2020	1019	9	2206	2	95534	110690	28				1	0.017																																																																										
Norsk storkrill	Meganyctiphanes norvegica	4	2020	1019	9	2206	2	95534	110690	29				1	0.017																																																																										
Norsk storkrill	Meganyctiphanes norvegica	4	2020	1019	9	2206	2	95534	110690	30				1	0.017																																																																										
gonatus	Gonatus	4	2020	1019	9	2206	4	82418	138036	1	1			1	0.03																																																																										
gonatus	Gonatus	4	2020	1019	9	2206	4	82418	138036	2	1			1	0.03																																																																										
gonatus	Gonatus	4	2020	1019	9	2206	4	82418	138036	3	1			1	0.032																																																																										
gonatus	Gonatus	4	2020	1019	9	2206	4	82418	138036	4	1			1	0.036																																																																										
gonatus	Gonatus	4	2020	1019	9	2206	4	82418	138036	5	1			1	0.038																																																																										
gonatus	Gonatus	4	2020	1019	9	2206	4	82418	138036	6	1			1	0.035																																																																										
gonatus	Gonatus	4	2020	1019	9	2206	4	82418	138036	7	1			1	0.02																																																																										
gonatus	Gonatus	4	2020	1019	9	2206	4	82418	138036	8	1			1	0.039																																																																										
gonatus	Gonatus	4	2020	1019	9	2206	4	82418	138036	9	1			1	0.03																																																																										
gonatus	Gonatus	4	2020	1019	9	2206	4	82418	138036	10	1			1	0.02																																																																										
torsk	Gadus morhua	4	2020	1019	9	2206	5	164712	126436	1	1			1	0.047																																																																										
blåkveite	Reinhardtius hippoglossoides	4	2020	1019	9	2206	6	172930	127144	1	1			1	0.013																																																																										
polartorsk	Boreogadus saida	4	2020	1019	9	2206	7	164706	126433	1	1			1	0.018																																																																										
polartorsk	Boreogadus saida	4	2020	1019	9	2206	7	164706	126433	2	1			1	0.03																																																																										
polartorsk	Boreogadus saida	4	2020	1019	9	2206	7	164706	126433	3	1			1	0.016																																																																										
polartorsk	Boreogadus saida	4	2020	1019	9	2206	7	164706	126433	4	1			1	0.017																																																																										
lodde	Mallotus villosus	4	2020	1019	9	2206	8	162035	126735	1	1			1	0.033																																																																										
lodde	Mallotus villosus	4	2020	1019	9	2206	8	162035	126735	2	1			1	0.038																																																																										
lodde	Mallotus villosus	4	2020	1019	9	2206	8	162035	126735	3	1			1	0.034																																																																										
lodde	Mallotus villosus	4	2020	1019	9	2206	8	162035	126735	4	1			1	0.042																																																																										
lodde	Mallotus villosus	4	2020	1019	9	2206	8	162035	126735	5	1			1	0.027																																																																										
lodde	Mallotus villosus	4	2020	1019	9	2206	8	162035	126735	6	1			1	0.035																																																																										
lodde	Mallotus villosus	4	2020	1019	9	2206	8	162035	126735	7	1			1	0.03																																																																										
lodde	Mallotus villosus	4	2020	1019	9	2206	8	162035	126735	8	1			1	0.033																																																																										
lodde	Mallotus villosus	4	2020	1019	9	2206	8	162035	126735	9	1			1	0.034																																																																										
lodde	Mallotus villosus	4	2020	1019	9	2206	8	162035	126735	10	1			1	0.033																																																																										
lodde	Mallotus villosus	4	2020	1019	9	2206	8	162035	126735	11	1			1	0.043																																																																										
lodde	Mallotus villosus	4	2020	1019	9	2206	8	162035	126735	12	1			1	0.037																																																																										
lodde	Mallotus villosus	4	2020	1019	9	2206	8	162035	126735	13	1			1	0.038																																																																										
lodde	Mallotus villosus	4	2020	1019	9	2206	8	162035	126735	14	1			1	0.031																																																																										
lodde	Mallotus villosus	4	2020	1019	9	2206	8	162035	126735	15	1			1	0.026																																																																										
lodde	Mallotus villosus	4	2020	1019	9	2206	8	162035	126735	16	1			1	0.035																																																																										
uerslekten	Sebastes	4	2020	1019	9	2206	9	166705	126175	1	1			1	0.025																																																																										
uerslekten	Sebastes	4	2020	1019	9	2206	9	166705	126175	2	1			1	0.017																																																																										
uerslekten	Sebastes	4	2020	1019	9	2206	9	166705	126175	3	1			1	0.013																																																																										
uerslekten	Sebastes	4	2020	1019	9	2206	9	166705	126175	4	1			1	0.014																																																																										
uerslekten	Sebastes	4	2020	1019	9	2206	9	166705	126175	5	1			1	0.026																																																																										
uerslekten	Sebastes	4	2020	1019	9	2206	9	166705	126175	6	1			1	0.025																																																																										
uerslekten	Sebastes	4	2020	1019	9	2206	9	166705	126175	7	1			1	0.015																																																																										
uerslekten	Sebastes	4	2020	1019	9	2206	9	166705	126175	8	1			1	0.021																																																																										
uerslekten	Sebastes	4	2020	1019	9	2206	9	166705	126175	9	1			1	0.016																																																																										
uerslekten	Sebastes	4	2020	1019	9	2206	9	166705	126175	10	1			1	0.016																																																																										
uerslekten	Sebastes	4	2020	1019	9	2206	9	166705	126175	11	1			1	0.018																																																																										
uerslekten	Sebastes	4	2020	1019	9	2206	9	166705	126175	12	1			1	0.021																																																																										
uerslekten	Sebastes	4	2020	1019	9	2206	9	166705	126175	13	1			1	0.018																																																																										
uerslekten	Sebastes	4	2020	1019	9	2206	9	166705	126175	14	1			1	0.015																																																																										
