Tsn;Num;Language code;Language;Name;Preferred;Description;Deprecated;Valid from;Valid to;New code
180541;1;1;Scientific;Ursus;true;;false;;;
180540;1;1;Scientific;Ursidae;true;;false;;;
659776;1;1;Scientific;Aulacoctena;true;;false;;;
999080;1;1;Scientific;Careproctus (kort);true;;false;;;
999080;2;2;Norwegian;Kortfinnet Snottfisk;true;;false;;;
555716;1;1;Scientific;Walvisteuthidae;true;;false;;;
555804;1;1;Scientific;Walvisteuthis;true;;false;;;
556319;1;1;Scientific;Walvisteuthis virilis;true;;false;;;
98660;1;3;English;masked crab;true;;false;;;
98660;2;1;Scientific;Corystes cassivelaunus;true;;false;;;
98660;3;2;Norwegian;maskekrabbe;true;;false;;;
660431;1;1;Scientific;Liocarcinus;true;;false;;;
50623;1;1;Scientific;Aequorea;true;;false;;;
162544;1;1;Scientific;Evermannella Indica;true;;false;;;
660059;1;3;English;Great Skua;true;;false;;;
660059;2;1;Scientific;Stercorarius Skua;true;;false;;;
660059;3;2;Norwegian;Storjo;true;;false;;;
176821;1;3;English;Lesser Black-backed Gull;true;;false;;;
176821;2;1;Scientific;Larus Fuscus;true;;false;;;
176821;3;2;Norwegian;Sildemåke;true;;false;;;
97817;1;1;Scientific;Pagurus Cuanensis;true;;false;;;
166342;1;3;English;dealfish;true;;false;;;
166342;2;1;Scientific;Trachipterus arcticus;true;;false;;;
166342;3;2;Norwegian;sølvkveite;true;;false;;;
158349;1;1;Scientific;Stichopus tremulus;true;;false;;;
158349;2;2;Norwegian;rødpølse;true;;false;;;
94354;1;1;Scientific;Onisimus Glacialis;true;;false;;;
52368;1;1;Scientific;Funiculina quadriangularis;true;;false;;;
96765;1;3;English;friendly blade shrimp;true;;false;;;
96765;2;1;Scientific;Spirontocaris liljeborgii;true;;false;;;
96765;3;2;Norwegian;Kamuflasjereke;true;;false;;;
67669;1;1;Scientific;Sabellaria;true;;false;;;
556692;1;1;Scientific;Loligo subulata;true;;false;;;
82384;1;3;English;European common squid;true;;false;;;
82384;2;1;Scientific;Alloteuthis subulata;true;;false;;;
94356;1;1;Scientific;Onisimus Nanseni;true;;false;;;
140289;1;1;Scientific;Syrphus Ribesii;true;;false;;;
140289;2;2;Norwegian;Vanlig Hageblomsterflue;true;;false;;;
155470;1;3;English;sea mats;true;;false;;;
155470;2;1;Scientific;Ectoprocta;true;;false;;;
155470;3;2;Norwegian;mosdyr;true;;false;;;
667068;1;1;Scientific;Neoscolecithrix farrani;true;;false;;;
157200;1;1;Scientific;Zoroasteridae;true;;false;;;
206783;1;1;Scientific;Reteporella;true;;false;;;
206783;2;1;Scientific;Sertella;false;;false;;;
999079;1;1;Scientific;Careproctus (lang);true;;false;;;
999079;2;2;Norwegian;Langfinnet Snottfisk;true;;false;;;
174781;1;3;English;Grey heron;true;;false;;;
174781;2;1;Scientific;Ardea cinerea;true;;false;;;
174781;3;2;Norwegian;Gråhegre;true;;false;;;
616195;1;3;English;Turbot;true;;false;;;
616195;2;1;Scientific;Scophthalmus maximus;true;;false;;;
616195;3;2;Norwegian;Piggvar;true;;false;;;
156051;1;1;Scientific;Bugula flabellata;true;;false;;;
157949;1;3;English;edible sea urchin;true;;false;;;
157949;2;1;Scientific;Echinus esculentus;true;;false;;;
157949;3;2;Norwegian;kråkebolle;false;;false;;;
157949;4;2;Norwegian;Svabergsjøpiggsvin;true;;false;;;
157949;5;4;Russian;морской еж эхинус;true;;false;;;
573714;1;3;English;Flying crab;true;;false;;;
573714;2;1;Scientific;Liocarcinus Holsatus;true;;false;;;
206849;1;1;Scientific;Parastichopus Tremulus;true;;false;;;
206849;2;2;Norwegian;Rødpølse;true;;false;;;
155824;1;1;Scientific;Membranipora Membranacea;true;;false;;;
204159;1;1;Scientific;Parazoanthus Anguicomus;true;;false;;;
573755;1;1;Scientific;Peracarida;true;;false;;;
167561;1;3;English;variegated snailfish;true;;false;;;
167561;2;1;Scientific;Liparis gibbus;true;;false;;;
643698;1;3;English;threadfin seasnail;true;;false;;;
643698;2;1;Scientific;Rhodichthys regina;true;;false;;;
643698;3;2;Norwegian;kongeringbuk;true;;false;;;
85431;1;1;Scientific;Bradyidius Similis;true;;false;;;
202423;1;3;English;Flowering plants;true;;false;;;
202423;2;1;Scientific;Animalia;true;;false;;;
155469;1;3;English;moss animals;false;;false;;;
155469;2;3;English;sea mats;true;;false;;;
155469;3;1;Scientific;Bryozoa;true;;false;;;
155469;4;2;Norwegian;Mosdyr;true;;false;;;
117318;1;3;English;Cutworms;true;;false;;;
117318;2;1;Scientific;Noctuidae;true;;false;;;
117318;3;2;Norwegian;Nattfly;true;;false;;;
642808;1;1;Scientific;Dissostichus mawsoni;true;;false;;;
642808;2;3;English;Antarctic toothfish;true;;false;;;
51919;1;1;Scientific;Rhopilema;true;;false;;;
161763;1;3;English;Spanish sardine;true;;false;;;
161763;2;1;Scientific;Sardinella aurita;true;;false;;;
162094;1;1;Scientific;Microstoma Microstoma;true;;false;;;
162107;1;1;Scientific;Opisthoproctus Soleatus;true;;false;;;
934083;1;3;English;norwegian pollock;true;;false;;;
934083;2;1;Scientific;Gadus chalcogrammus;true;;false;;;
934083;3;1;Scientific;Theragra finnmarchica;false;;false;;;
934083;4;2;Norwegian;Alaskatorsk;true;;false;;;
934083;5;2;Norwegian;Berlevågfisk;false;;false;;;
172748;1;3;English;turbot;true;;false;;;
172748;2;1;Scientific;Psetta maxima;false;;false;;;
172748;3;1;Scientific;Scophthalmus maximus;true;;false;;;
172748;4;2;Norwegian;piggvar;true;;false;;;
172748;5;4;Russian;tyurbo;true;;false;;;
171094;1;1;Scientific;Pseudoscopelus Altipinnis;true;;false;;;
51339;1;1;Scientific;Praya dubia;true;;false;;;
719232;1;3;English;Tall sea pen;true;;false;;;
719232;2;1;Scientific;Funiculina Quadrangularis;true;;false;;;
719232;3;2;Norwegian;Stor piperenser;true;;false;;;
205249;1;1;Scientific;Jorunna Tomentosa;true;;false;;;
206253;1;1;Scientific;Scalpellum scalpellum;true;;false;;;
206253;2;2;Norwegian;Skjellhals;true;;false;;;
79632;1;3;English;Scallop;true;;false;;;
79632;2;1;Scientific;Pseudamussium Peslutrae;true;;false;;;
79632;3;2;Norwegian;Sjustripeskjell;true;;false;;;
162552;1;1;Scientific;Benthalbella Infans;true;;false;;;
999047;1;1;Scientific;Pagurus Alatus;true;;false;;;
176832;1;3;English;Mew Gull;true;;false;;;
176832;2;1;Scientific;Larus Canus;true;;false;;;
176832;3;2;Norwegian;Fiskemåke;true;;false;;;
999046;1;1;Scientific;Bythocaris biruli;true;;false;;;
551153;1;1;Scientific;Clupeinae;true;;false;;;
68349;1;1;Scientific;Ficopomatus;true;;false;;;
999005;1;1;Scientific;Sertularia gigantea;true;;false;;;
93765;1;1;Scientific;Eriopisa;false;;false;;;
93765;2;1;Scientific;Eriopisa;true;;false;;;
49945;1;1;Scientific;Abietinaria;true;;false;;;
81301;1;1;Scientific;Abra;true;;false;;;
163665;1;1;Scientific;Abramis;true;;false;;;
81305;1;1;Scientific;Abra prismatica;true;;false;;;
52337;1;1;Scientific;Acanella;true;;false;;;
52341;1;1;Scientific;Acanella sibogae;true;;false;;;
167953;1;3;English;Argentine seabass;true;;false;;;
167953;2;1;Scientific;Acanthistius brasilianus;true;;false;;;
80931;1;1;Scientific;Acanthocardia;true;;false;;;
79033;1;1;Scientific;Acanthochitona;true;;false;;;
79036;1;1;Scientific;Acanthochitona crinita;true;;false;;;
79030;1;1;Scientific;Acanthochitonidae;true;;false;;;
172450;1;1;Scientific;Acanthocybium;true;;false;;;
161767;1;3;English;Madeiran sardinella;true;;false;;;
161767;2;1;Scientific;Sardinella maderensis;true;;false;;;
556314;1;3;English;Lentil Bobtail;true;;false;;;
556314;2;1;Scientific;Rondeletiola Minor;true;;false;;;
556316;1;3;English;Tongue Bobtail;true;;false;;;
556316;2;1;Scientific;Sepiola Ligulata;true;;false;;;
555684;1;1;Scientific;Aberrantidae;true;;false;;;
555684;2;1;Scientific;Spirorbidae;false;;false;;;
166975;1;1;Scientific;Prionotus evolans;true;;false;;;
166975;2;3;English;Striped searobin;true;;false;;;
550681;1;1;Scientific;Muraenolepis marmorata;true;;false;;;
550681;2;3;English;Marbled moray cod;true;;false;;;
999301;1;2;Norwegian;fremmedlegeme;true;;false;;;
999201;1;2;Norwegian;annet;true;;false;;;
999111;1;2;Norwegian;grus;true;;false;;;
999021;1;1;Scientific;Aphroditiformia;true;;false;;;
999021;2;2;Norwegian;Skjellrygger;true;;false;;;
564136;1;1;Scientific;Leucoraja garmani;true;;false;;;
564136;2;3;English;Rosette skate;true;;false;;;
172739;1;1;Scientific;Paralichthys oblongus;true;;false;;;
172739;2;3;English;Fourspot flounder;true;;false;;;
172719;1;1;Scientific;Citharichthys arctifrons;true;;false;;;
172719;2;3;English;Gulf stream flounder;true;;false;;;
172735;1;1;Scientific;Paralichthys dentatus;true;;false;;;
172735;2;3;English;Summer flounder;true;;false;;;
172735;3;3;English;Northern fluke;false;;false;;;
999231;1;2;Norwegian;Hvalskjelett;true;;false;;;
999221;1;2;Norwegian;agn;true;;false;;;
162611;1;1;Scientific;Diaphus metopoclampus;true;;false;;;
623713;1;1;Scientific;Diaphus rafinesquii;true;;false;;;
623712;1;1;Scientific;Bolinichthys photothorax;true;;false;;;
162732;1;1;Scientific;Centrobranchus nigroocellatus;true;;false;;;
623704;1;1;Scientific;Diaphus adenomus;true;;false;;;
622418;1;1;Scientific;Astronesthes atlanticus;true;;false;;;
162555;1;1;Scientific;Scopelarchus analis;true;;false;;;
622676;1;1;Scientific;Sternoptyx pseudodiaphana;true;;false;;;
622884;1;1;Scientific;Ceratias uranoscopus;true;;false;;;
557221;1;1;Scientific;Amphitretus pelagicus;true;;false;;;
162271;1;1;Scientific;Photostomias atrox;true;;false;;;
166105;1;1;Scientific;Melamphaes typhlops;true;;false;;;
623337;1;1;Scientific;Holtbyrnia innesi;true;;false;;;
553128;1;1;Scientific;Beloniformes;true;;false;;;
999044;1;1;Scientific;Cancer opili;true;;false;;;
591709;1;1;Scientific;Conchoecinae;true;;false;;;
553473;1;1;Scientific;Larinae;true;;false;;;
180425;1;3;English;bottlenose dolphins;true;;false;;;
180425;2;1;Scientific;Tursiops;true;;false;;;
93794;1;1;Scientific;Maera;true;;false;;;
49946;1;1;Scientific;Abietinaria abietina;true;;false;;;
81306;1;3;English;white furrow shell;true;;false;;;
81306;2;1;Scientific;Abra alba;true;;false;;;
81314;1;1;Scientific;Abra nitida;true;;false;;;
81307;1;1;Scientific;Abra tenuis;true;;false;;;
52340;1;1;Scientific;Acanella japonica;true;;false;;;
167952;1;1;Scientific;Acanthistius;true;;false;;;
80930;1;3;English;spiny cockle;true;;false;;;
80930;2;1;Scientific;Acanthocardia aculeata;true;;false;;;
64238;1;3;English;spiny-headed worms;true;;false;;;
64238;2;1;Scientific;Acanthocephala;true;;false;;;
64238;3;2;Norwegian;Krassere;true;;false;;;
79043;1;1;Scientific;Acanthochitona communis;true;;false;;;
79029;1;1;Scientific;Acanthochitonida;true;;false;;;
566861;1;1;Scientific;Acanthochitonina;true;;false;;;
157820;1;1;Scientific;Echinozoa;true;;false;;;
642948;1;1;Scientific;Pogonophryne scotti;true;;false;;;
642948;2;3;English;Saddleback plunderfish;true;;false;;;
999016;1;1;Scientific;Sepiola Tridens;true;;false;;;
163666;1;3;English;bronze bream;true;;false;;;
163666;2;3;English;common bream;false;;false;;;
163666;3;3;English;freshwater bream;false;;false;;;
163666;4;1;Scientific;Abramis brama;true;;false;;;
163666;5;4;Russian;лещ;true;;false;;;
163666;6;4;Russian;Лещ обыкновенный;false;;false;;;
172451;1;3;English;peto;true;;false;;;
172451;2;1;Scientific;Acanthocybium solandri;true;;false;;;
78358;1;1;Scientific;Acanthodoris;true;;false;;;
78359;1;3;English;hairy spiny doris;true;;false;;;
78359;2;1;Scientific;Acanthodoris pilosa;true;;false;;;
170741;1;1;Scientific;Acantholabrus;true;;false;;;
170742;1;3;English;small-rayed wrasse;true;;false;;;
170742;2;1;Scientific;Acantholabrus palloni;true;;false;;;
170742;3;2;Norwegian;brungylt;true;;false;;;
93296;1;1;Scientific;Acanthonotozomatidae;true;;false;;;
166082;1;1;Scientific;Acanthopterygii;true;;false;;;
94490;1;1;Scientific;Acanthostepheia;true;;false;;;
94492;1;1;Scientific;Acanthostepheia malmgreni;true;;false;;;
172249;1;1;Scientific;Acanthuroidei;true;;false;;;
733321;1;1;Scientific;Acari;true;;false;;;
690740;1;1;Scientific;Acariformes;true;;false;;;
86084;1;1;Scientific;Acartia;true;;false;;;
86085;1;1;Scientific;Acartia clausi;true;;false;;;
86087;1;1;Scientific;Acartia longiremis;true;;false;;;
86083;1;1;Scientific;Acartiidae;true;;false;;;
98576;1;1;Scientific;Achaeus;true;;false;;;
98577;1;3;English;cranchs spider crab;true;;false;;;
98577;2;1;Scientific;Achaeus cranchii;true;;false;;;
83579;1;1;Scientific;Achelia;true;;false;;;
83586;1;3;English;sea spider;true;;false;;;
83586;2;1;Scientific;Achelia echinata;true;;false;;;
555670;1;1;Scientific;Aciculata;true;;false;;;
161065;1;1;Scientific;Acipenser;true;;false;;;
161064;1;3;English;sturgeons;true;;false;;;
161064;2;1;Scientific;Acipenseridae;true;;false;;;
161064;3;2;Norwegian;størfamilien;true;;false;;;
161063;1;3;English;sturgeons;true;;false;;;
161063;2;1;Scientific;Acipenseriformes;true;;false;;;
161063;3;2;Norwegian;stører;true;;false;;;
161063;4;4;Russian;осетрообразные;true;;false;;;
573236;1;1;Scientific;Acipenserinae;true;;false;;;
553169;1;1;Scientific;Acipenseroidei;true;;false;;;
161072;1;3;English;sturgeon;true;;false;;;
161072;2;1;Scientific;Acipenser sturio;true;;false;;;
161072;3;2;Norwegian;stør;true;;false;;;
78600;1;1;Scientific;Acleioprocta;true;;false;;;
72396;1;1;Scientific;Aclididae;true;;false;;;
69658;1;3;English;limpets;true;;false;;;
69658;2;1;Scientific;Acmaeidae;true;;false;;;
52804;1;1;Scientific;Acontiophoridae;true;;false;;;
156768;1;1;Scientific;Acrotretida;true;;false;;;
203164;1;1;Scientific;Acrotretidina;true;;false;;;
76049;1;1;Scientific;Acteon;true;;false;;;
76048;1;1;Scientific;Acteonidae;true;;false;;;
76051;1;1;Scientific;Acteon tornatilis;true;;false;;;
52666;1;1;Scientific;Actinauge;true;;false;;;
52669;1;3;English;seanemone;true;;false;;;
52669;2;1;Scientific;Actinauge richardi;true;;false;;;
52588;1;1;Scientific;Actinia;true;;false;;;
52596;1;3;English;beadlet anemone;true;;false;;;
52596;2;1;Scientific;Actinia equina;true;;false;;;
52596;3;2;Norwegian;svabergrose;true;;false;;;
204177;1;1;Scientific;Actinia prasina;true;;false;;;
52485;1;3;English;sea anemones;true;;false;;;
52485;2;1;Scientific;Actiniaria;true;;false;;;
52485;3;2;Norwegian;sjøanemoner;true;;false;;;
52541;1;1;Scientific;Actiniidae;true;;false;;;
52541;2;2;Norwegian;sjøroser;true;;false;;;
161061;1;3;English;spiny rayed fishes;true;;false;;;
161061;2;1;Scientific;Actinopterygii;true;;false;;;
161061;3;2;Norwegian;strålefinnefisker;true;;false;;;
52663;1;1;Scientific;Adamsia;true;;false;;;
542545;1;1;Scientific;Aega psora;true;;false;;;
51144;1;1;Scientific;Aeginidae;true;;false;;;
95432;1;3;English;long-horned skeleton shrimp;true;;false;;;
95432;2;1;Scientific;Aeginina longicornis;true;;false;;;
51158;1;1;Scientific;Aeginopsis;true;;false;;;
78728;1;3;English;shag-rug aeolis;true;;false;;;
78728;2;1;Scientific;Aeolidia papillosa;true;;false;;;
78728;3;2;Norwegian;frynsesnegl;true;;false;;;
78738;1;1;Scientific;Aeolidiella alderi;true;;false;;;
85413;1;1;Scientific;Aetideidae;true;;false;;;
610028;1;1;Scientific;Aetideopsis armata;true;;false;;;
85421;1;1;Scientific;Aetideus armatus;true;;false;;;
53050;1;3;English;lettuce coral;true;;false;;;
53050;2;1;Scientific;Agaricia agaricites;true;;false;;;
53059;1;1;Scientific;Agaricia cailleti;true;;false;;;
53058;1;3;English;sheet coral;true;;false;;;
53058;2;1;Scientific;Agaricia lamarcki;true;;false;;;
53060;1;1;Scientific;Agaricia tenuifolia;true;;false;;;
51093;1;1;Scientific;Aglantha;true;;false;;;
718950;1;1;Scientific;Aglaopheniidae;true;;false;;;
167426;1;3;English;poachers;true;;false;;;
167426;2;1;Scientific;Agonidae;true;;false;;;
167426;3;2;Norwegian;panserulkefamilien;true;;false;;;
660229;1;1;Scientific;Agononida longipes;true;;false;;;
167454;1;3;English;hooknose;true;;false;;;
167454;2;1;Scientific;Agonus cataphractus;true;;false;;;
167454;3;2;Norwegian;panserulke;true;;false;;;
644704;1;1;Scientific;Ahliesaurus berryi;true;;false;;;
11289;1;1;Scientific;Alaria;true;;false;;;
204087;1;1;Scientific;Thenea muricata;true;;false;;;
11300;1;3;English;dabberlocks;true;;false;;;
11300;2;1;Scientific;Alaria esculenta;true;;false;;;
11300;3;2;Norwegian;butare;true;;false;;;
176970;1;1;Scientific;Alca;true;;false;;;
155474;1;1;Scientific;Alcyonidiidae;true;;false;;;
162590;1;1;Scientific;Diaphus bertelseni;true;;false;;;
162605;1;1;Scientific;Diaphus holti;true;;false;;;
162625;1;1;Scientific;Diaphus subtilis;true;;false;;;
162641;1;1;Scientific;Lampanyctus lineatus;true;;false;;;
162643;1;1;Scientific;Lampanyctus nobilis;true;;false;;;
162644;1;1;Scientific;Lampanyctus photonotus;true;;false;;;
623740;1;1;Scientific;Lampanyctus vadulus;true;;false;;;
162717;1;1;Scientific;Loweina rara;true;;false;;;
162656;1;1;Scientific;Notoscopelus bolini;true;;false;;;
162744;1;1;Scientific;Taaningichthys paurolychnus;true;;false;;;
622403;1;1;Scientific;Aristostomias xenostoma;true;;false;;;
162790;1;1;Scientific;Cetostoma regani;true;;false;;;
622535;1;1;Scientific;Chauliodus schmidti;true;;false;;;
644712;1;1;Scientific;Gigantura chuni;true;;false;;;
162479;1;1;Scientific;Lestidiops affinis;true;;false;;;
166099;1;1;Scientific;Melamphaes longivelis;true;;false;;;
162777;1;1;Scientific;Scopelengys tristis;true;;false;;;
622774;1;1;Scientific;Lasiognathus;true;;false;;;
622464;1;1;Scientific;Ichthyococcus polli;true;;false;;;
623314;1;1;Scientific;Mentodus;true;;false;;;
162362;1;1;Scientific;Einara;true;;false;;;
166113;1;1;Scientific;Scopeloberyx opisthopterus;true;;false;;;
622679;1;1;Scientific;Stomias lampropeltis;true;;false;;;
622989;1;1;Scientific;Lyconodes argenteus;true;;false;;;
556079;1;1;Scientific;Mastigoteuthis glaukopis;true;;false;;;
999092;1;1;Scientific;Dolichopteryx rostrata;true;;false;;;
641931;1;1;Scientific;Howella atlantica;true;;false;;;
623356;1;1;Scientific;Bathylychnops brachyrhynchus;true;;false;;;
999093;1;1;Scientific;Pseudoscopelus cordilluminatus;true;;false;;;
162346;1;1;Scientific;Asquamiceps;true;;false;;;
162167;1;1;Scientific;Cyclothone pallida;true;;false;;;
29909;1;1;Scientific;Asteridae;true;;false;;;
52628;1;1;Scientific;Actinostolidae;true;;false;;;
709253;1;1;Scientific;Aculeata;true;;false;;;
92485;1;1;Scientific;Aega;true;;false;;;
201334;1;3;English;sechervil;true;;false;;;
201334;2;1;Scientific;Alcyonidium diaphanum;true;;false;;;
92484;1;1;Scientific;Aegidae;true;;false;;;
95431;1;1;Scientific;Aeginina;true;;false;;;
78727;1;1;Scientific;Aeolidia;true;;false;;;
78737;1;1;Scientific;Aeolidiella;true;;false;;;
78726;1;1;Scientific;Aeolidiidae;true;;false;;;
85414;1;1;Scientific;Aetideopsis;true;;false;;;
85419;1;1;Scientific;Aetideus;true;;false;;;
53049;1;1;Scientific;Agaricia;true;;false;;;
